meeting_number,meeting_year,meeting_month,publication_date,decision,url
146,2009,10,2009-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15906
147,2009,12,2009-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15907
148,2010,1,2010-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15908
149,2010,3,2010-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15909
150,2010,4,2010-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15910
151,2010,6,2010-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15911
152,2010,7,2010-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15912
153,2010,9,2010-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15913
154,2010,10,2010-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15914
155,2010,12,2010-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15915
156,2011,1,2011-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15916
157,2011,3,2011-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15917
158,2011,4,2011-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15918
159,2011,6,2011-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15919
160,2011,7,2011-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15920
161,2011,8,2011-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15921
162,2011,10,2011-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15922
163,2011,11,2011-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15923
164,2012,1,2012-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15924
