date,std_4y,prob_regime_0,prob_regime_1,prob_high_vol,prob_low_vol,model_run_release_date,model_n_obs,model_aic,model_bic,is_ad_hoc_date,regime_high_mean,regime_low_mean
2005-09-21,0.5318904109589041,0.07729803626740671,0.9227019637325933,0.9227019637325933,0.07729803626740671,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-22,0.3926027397260274,2.4905442456616507e-05,0.9999750945575434,0.9999750945575434,2.4905442456616507e-05,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-23,0.3855890410958904,1.583869593683083e-07,0.9999998416130407,0.9999998416130407,1.583869593683083e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-26,0.3863287671232877,1.6053944963759976e-07,0.9999998394605504,0.9999998394605504,1.6053944963759976e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-27,0.3865753424657534,1.3313279619268666e-07,0.9999998668672038,0.9999998668672038,1.3313279619268666e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-28,0.3868219178082192,1.280131091373541e-07,0.9999998719868909,0.9999998719868909,1.280131091373541e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-29,0.3870684931506849,1.2936549603525935e-07,0.9999998706345039,0.9999998706345039,1.2936549603525935e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-30,0.3873150684931506,7.137577022321401e-05,0.9999286242297768,0.9999286242297768,7.137577022321401e-05,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-03,0.5312328767123288,0.8406107688622966,0.15938923113770334,0.15938923113770334,0.8406107688622966,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-04,0.5293698630136986,0.9672182809228231,0.03278171907717684,0.03278171907717684,0.9672182809228231,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-05,0.529945205479452,0.994365479301127,0.0056345206988731005,0.0056345206988731005,0.994365479301127,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-06,0.5281643835616439,0.9989711185082244,0.00102888149177548,0.00102888149177548,0.9989711185082244,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-07,0.5287671232876712,0.9996234824317342,0.00037651756826567306,0.00037651756826567306,0.9996234824317342,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-10,0.5328219178082192,0.9997159649690444,0.00028403503095531646,0.00028403503095531646,0.9997159649690444,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-11,0.5333972602739726,0.9997078701171576,0.0002921298828419878,0.0002921298828419878,0.9997078701171576,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-13,0.4988767123287672,0.9995565120685165,0.0004434879314829184,0.0004434879314829184,0.9995565120685165,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-14,0.4993972602739726,0.9992842335473251,0.0007157664526742694,0.0007157664526742694,0.9992842335473251,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-17,0.503013698630137,0.9979715814070912,0.002028418592908242,0.002028418592908242,0.9979715814070912,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-18,0.5035068493150685,0.9905152523650667,0.009484747634932914,0.009484747634932914,0.9905152523650667,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-19,0.502,0.9604378509607574,0.03956214903924208,0.03956214903924208,0.9604378509607574,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-20,0.5025205479452055,0.8048784629942708,0.1951215370057288,0.1951215370057288,0.8048784629942708,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-21,0.5191506849315068,0.00340657842719722,0.9965934215728023,0.9965934215728023,0.00340657842719722,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-24,0.5408767123287671,4.942912812314044e-07,0.9999995057087182,0.9999995057087182,4.942912812314044e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-25,0.5414520547945205,1.4712448400559653e-07,0.9999998528755155,0.9999998528755155,1.4712448400559653e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-26,0.5420273972602739,1.403975785610836e-07,0.999999859602421,0.999999859602421,1.403975785610836e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-27,0.5326027397260273,5.343913624131664e-07,0.9999994656086373,0.9999994656086373,5.343913624131664e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-28,0.5331780821917808,5.125676697671767e-07,0.9999994874323298,0.9999994874323298,5.125676697671767e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-10-31,0.534904109589041,3.401657278824646e-06,0.9999965983427209,0.9999965983427209,3.401657278824646e-06,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-01,0.5354794520547945,0.009942010460598104,0.9900579895394017,0.9900579895394017,0.009942010460598104,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-03,0.3756986301369863,2.2476304835029263e-06,0.9999977523695164,0.9999977523695164,2.2476304835029263e-06,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-04,0.375945205479452,2.6507786779921495e-07,0.9999997349221322,0.9999997349221322,2.6507786779921495e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-07,0.3866849315068493,1.3953936268788572e-06,0.999998604606373,0.999998604606373,1.3953936268788572e-06,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-08,0.3783835616438356,4.342287109338955e-07,0.9999995657712891,0.9999995657712891,4.342287109338955e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-09,0.3786027397260274,2.575585615573871e-07,0.9999997424414385,0.9999997424414385,2.575585615573871e-07,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-10,0.3574246575342465,5.455675159921666e-06,0.99999454432484,0.99999454432484,5.455675159921666e-06,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-11,0.5312328767123288,0.750773481871757,0.24922651812824323,0.24922651812824323,0.750773481871757,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-14,0.542958904109589,0.9231889486668434,0.07681105133315685,0.07681105133315685,0.9231889486668434,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-16,0.5341095890410958,0.9827003467224527,0.017299653277547743,0.017299653277547743,0.9827003467224527,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-17,0.5346849315068494,0.9958833468705314,0.0041166531294689526,0.0041166531294689526,0.9958833468705314,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-18,0.5264383561643836,0.9988679703193326,0.0011320296806677267,0.0011320296806677267,0.9988679703193326,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-21,0.536986301369863,0.9993310211439622,0.0006689788560382049,0.0006689788560382049,0.9993310211439622,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-22,0.5375616438356164,0.9996121240266287,0.0003878759733716678,0.0003878759733716678,0.9996121240266287,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-23,0.5181369863013698,0.9996334843572197,0.0003665156427805712,0.0003665156427805712,0.9996334843572197,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-24,0.5097260273972603,0.9995361645746821,0.0004638354253183138,0.0004638354253183138,0.9995361645746821,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-11-25,0.5102739726027398,0.9994178174564106,0.0005821825435897612,0.0005821825435897612,0.9994178174564106,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
